text,sentiment
says BAD TRIP! (angry)  http://plurk.com/p/wxshi,0
 that sounds foreboding...,0
" _kat I`ve begged my mum to lt me get them out the attic.. but she wont let me  Waaa... and yes, was spoilt! hehe!",0
"is really, really bored... I guess I will go to bed",0
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,0
" pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the boards",0
My teratoma has a cavity and is experiencing male-pattern baldness,0
First ever dropped call on my mobile. On a call to  no less! ( being charged for data even though I have a data pack  ),0
Found out that a schoolmate died of an heart attack this morning. He was barely 35  will miss u bally!,0
 doesnt look good  we have to go burn some lampions,0
" And these poor, unfortunate souls don`t appear to have any pants at all...  ? http://blip.fm/~78qvz",0
It`s pissing me off and not letting me follow ericka,0
 Had one of the female servers tell her **** looks big in those pants. She will worry all night long Lol,0
I spent an hour this morning going through yearbooks to see when each senior started to Harleton. My speech will be so boring.,0
" I am sure every office has them. Men and women with no capacity to realize they should SHUT THE UNHOLY **** UP, Christ",0
" yea, feel like im bein ignored",0
This is getting on my nerves. I cant change my pic,0
 i have a weird subconscience. i wonder who will i dream next,0
"#DuckRaces in the bath don`t quite work  Especially if you have no ducks! Only a polar bear,a seal & a whale.",0
were playing at 7 @ club impact tomorrow! finally got shirts! woopity doo! i want a slurpeeee sooo bad right now,0
will deplurk! GAH!! need to concentrate on Jap! Visit my http://jynxedpanda.com (site) if you have time  heh... http://plurk.com/p/rr2ly,0
 wtf pogs are back too?,0
" -- No fair, I want a sticker but I just moved away from London",0
 gonna go home and TRY to take a nap. I am emotionally exhausted   ... I will be in after.. <3,0
on my way to work. I`M SO HUNGRY!,0
I cant get all my rwitters on my phone this phone sucks,0
 i cantttt.  my grandparents are here.,0
Bad Day. History Test Tommorrow. And I want to go out in the sun and play..,0
wtf come i need this day to go by,0
" Wow, I`ve officially lost all faith in Britain, looks like our wishes weren`t met, sadly",0
_Girl OOC sorry we keep missing each other...,0
I give in to easily,0
: aww im sorry honey.  that stinks,0
 awww. i wish i had a younger sis ): but i do have an older one!!! i bet your younger sis loves it JUST as much as u do!,0
http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,0
goodness gracious my chair broke,0
 im so jealous! I want to go to ny,0
Im @ the dentist  ....scary people here...,0
 that`s a mess  I`ll look for it next week,0
 So sorry to hear your terrible news   Thinking of you all x,0
all my pancakes always end up soggy.,0
"left school just now. my new dress broke, the strap ripped off",0
 LMAAAOOOOO that is horrible. Poor thing,0
Webcams Hoepfner Burgfest in #Karlsruhe: Automatic reload #fail http://bit.ly/Vdtvf,0
(sigh) guess we`re not gonna meet up today.,0
" Lakers, baby Lakers!! I`ll miss the game tmwr. I have to work  you`ll have to keep me posted please",0
My car is broken.,0
hm seems to have been because my blog was marked as a phishing site,0
I think I have hayfever. Not sure due to wearing next to nothing in horrific weather on wed.,0
With bff _chrissy22 glad she got that dog out of here lol my stomatch hurts,0
heyheyheyheyehyeyyyyyyyyyyyyyyyy noo tokio hotel tshirts im friad omg shame,0
So bored  waiting for class to start. Sigh midterms next week >_<,0
Super bummed the Whitecaps game plans with friends fell through...I now need to be home by 7 to let the sitter go,0
 Why I aint on ur #FF list? im hurt,0
i wanna leave work already! Not feelin it 2day,0
saddest celeb story of the week  http://bit.ly/h09Ph,0
_distel Maybe u have natural ability for languages  I envy u on that !!,0
Daddy just left.................without me  http://yfrog.com/13pdrmj,0
Willie is pouting because Grandma didn`t put any treats on my food  http://apps.facebook.com/dogbook/profile/view/6877293,0
seriously getting hurt.... 4 days before nationals.. what a joke,0
